"host_id.x","host_id.y","numReviewers"
"H10981095","H46630199",3
"H109813481","H21569885",2
"H109813481","H5121445",7
"H110003","H1215860",3
"H110003","H1565502",2
"H110003","H1624394",3
"H110003","H20916687",4
"H110003","H3238684",2
"H110003","H33262773",3
"H110003","H343320",5
"H110003","H511136",2
"H110003","H5121445",5
"H110003","H8347591",2
"H110003","H9240073",2
"H110051006","H33664909",2
"H110214097","H8556430",2
"H1105484","H14692970",2
"H11056432","H8261484",2
"H11069555","H21032851",5
"H11102678","H11711391",2
"H11102678","H12037959",5
"H11102678","H22239362",4
"H11102678","H2506509",2
"H11102678","H36385637",2
"H11102678","H42534044",2
"H11102678","H49032271",4
"H11102678","H5356790",2
"H11102678","H7042945",2
"H11102678","H75208389",2
"H11102678","H82184603",2
"H11111060","H21506582",2
"H11133326","H14692970",3
"H11133326","H26017860",2
"H11133326","H27696",2
"H11133326","H43492585",6
"H11133326","H46630199",2
"H11154497","H14631970",2
"H11154497","H7988686",2
"H11154497","H8261484",2
"H11203497","H24336073",2
"H11209487","H12161205",2
"H11223523","H8503228",2
"H112268432","H6037826",2
"H11231930","H2363299",2
"H11231930","H27696",3
"H11231930","H30386874",2
"H11231930","H36270684",2
"H11231930","H8590537",4
"H11273927","H19008477",2
"H11273927","H8591234",3
"H1131910","H11611752",2
"H11391933","H3672670",3
"H11392153","H10620467",2
"H11392153","H2291656",5
"H11403959","H11611752",3
"H11403959","H12161205",2
"H11403959","H17207062",2
"H11403959","H2038963",12
"H11403959","H24986051",2
"H11403959","H25311748",3
"H11403959","H46282344",2
"H11403959","H46630199",2
"H11403959","H4840610",3
"H11403959","H57817556",2
"H11403959","H60902756",2
"H11403959","H6263160",2
"H11403959","H9520083",2
"H114060511","H75679",2
"H114667013","H8591234",3
"H11517171","H18069324",2
"H11555067","H8503228",2
"H115569662","H20527599",4
"H11559071","H47593419",2
"H11585007","H2036660",2
"H11600217","H11980555",2
"H11600217","H17633",2
"H11600217","H23463886",2
"H11600217","H26230942",2
"H11600217","H54846861",2
"H11600217","H8008783",3
"H11600217","H8501831",2
"H11600217","H99445222",2
"H11611752","H100727",2
"H11611752","H1131910",2
"H11611752","H11403959",3
"H11611752","H11887826",2
"H11611752","H12710712",2
"H11611752","H12895832",2
"H11611752","H14123150",3
"H11611752","H14545864",2
"H11611752","H1468884",4
"H11611752","H15996895",2
"H11611752","H1671809",6
"H11611752","H17633",17
"H11611752","H1864688",2
"H11611752","H19588566",2
"H11611752","H19988125",2
"H11611752","H2070536",2
"H11611752","H21132530",2
"H11611752","H21506582",2
"H11611752","H23309978",2
"H11611752","H24447822",2
"H11611752","H24902540",7
"H11611752","H25197983",2
"H11611752","H253258",4
"H11611752","H2598912",2
"H11611752","H2726546",2
"H11611752","H27323824",2
"H11611752","H30100464",2
"H11611752","H31600200",2
"H11611752","H32067",8
"H11611752","H32844998",2
"H11611752","H343320",5
"H11611752","H35456515",2
"H11611752","H3574033",2
"H11611752","H39930655",18
"H11611752","H4219994",2
"H11611752","H46282344",2
"H11611752","H47571567",2
"H11611752","H486251",2
"H11611752","H5094757",2
"H11611752","H511136",3
"H11611752","H56884897",6
"H11611752","H5778691",3
"H11611752","H58166745",5
"H11611752","H60902756",2
"H11611752","H6421422",6
"H11611752","H6483445",4
"H11611752","H6868704",2
"H11611752","H69203193",2
"H11611752","H74778",8
"H11611752","H8008783",6
"H11611752","H82335",2
"H11611752","H8306701",2
"H11611752","H8354112",2
"H11611752","H8386207",3
"H11611752","H8713526",6
"H11611752","H8812591",2
"H11611752","H9391057",2
"H11611752","H9419684",2
"H11611752","H9590573",2
"H11611752","H9746136",5
"H11630609","H10871811",2
"H11630609","H10952517",2
"H11630609","H1721549",2
"H11630609","H21032851",10
"H11630609","H24049370",2
"H11630609","H24336073",5
"H11630609","H25115282",2
"H11630609","H253258",2
"H11630609","H26228670",2
"H11630609","H2936043",2
"H11630609","H30383311",2
"H11630609","H31548826",6
"H11630609","H35456515",3
"H11630609","H35794807",3
"H11630609","H4492140",2
"H11630609","H45095645",2
"H11630609","H46542918",4
"H11630609","H46630199",4
"H11630609","H53137795",10
"H11630609","H55781438",2
"H11630609","H5812009",5
"H11630609","H7025353",2
"H11630609","H8008783",14
"H11630609","H81951197",2
"H11630609","H8201030",2
"H11630609","H82330120",2
"H11630609","H824423",2
"H11630609","H8556430",2
"H11630609","H8591234",2
"H11630609","H87346288",14
"H11656766","H37722870",2
"H11656766","H55026621",3
"H116599","H4375212",3
"H11711391","H11102678",2
"H11711391","H22239362",2
"H11711391","H49032271",2
"H11711391","H86622081",2
"H11793019","H15365907",2
"H11793019","H192856",2
"H11793019","H4492140",2
"H11793019","H959142",2
"H11822061","H39823532",2
"H1187360","H15808010",4
"H1187360","H27998750",2
"H1187360","H28827689",2
"H1187360","H3794441",2
"H1187360","H4977214",3
"H1187360","H5076655",2
"H1187360","H5195482",2
"H1187360","H5448602",2
"H1187360","H5792182",2
"H1187360","H67966277",2
"H1187360","H69033883",4
"H1187360","H8321439",2
"H118807738","H458671",2
"H11887826","H11611752",2
"H11887826","H39930655",2
"H11903383","H11970274",2
"H11970274","H11903383",2
"H11970274","H1215860",2
"H11970274","H22756175",2
"H11970274","H32067",2
"H11970274","H343320",5
"H11970274","H42062976",2
"H11970274","H5121445",5
"H11970274","H8347591",2
"H11980555","H11600217",2
"H11980555","H13817352",4
"H11980555","H14123150",2
"H11980555","H1479590",3
"H11980555","H1743511",2
"H11980555","H17633",4
"H11980555","H1864688",4
"H11980555","H22153615",2
"H11980555","H22653397",4
"H11980555","H28825130",2
"H11980555","H31600200",5
"H11980555","H32067",2
"H11980555","H3914691",3
"H11980555","H39930655",3
"H11980555","H44203219",2
"H11980555","H4908216",2
"H11980555","H50148",2
"H11980555","H511136",2
"H11980555","H54846861",2
"H11980555","H58166745",3
"H11980555","H64102134",2
"H11980555","H7567180",2
"H11980555","H8008783",2
"H12003362","H10555363",2
"H12003362","H28827689",2
"H12037959","H11102678",5
"H12037959","H28827689",2
"H12037959","H32009941",5
"H12037959","H3672670",5
"H12037959","H46800409",5
"H12037959","H65822604",6
"H12037959","H68764345",5
"H12037959","H7042945",10
"H12037959","H75208389",10
"H12037959","H814151",5
"H121090333","H22489034",2
"H121575","H89016153",2
"H1215860","H110003",3
"H1215860","H11970274",2
"H1215860","H14631970",2
"H1215860","H1601409",2
"H1215860","H2020995",10
"H1215860","H2070536",2
"H1215860","H2252538",4
"H1215860","H22731277",2
"H1215860","H27696",3
"H1215860","H301975",6
"H1215860","H343320",42
"H1215860","H36482071",2
"H1215860","H38289794",2
"H1215860","H40629622",2
"H1215860","H4125146",2
"H1215860","H4645",2
"H1215860","H5059",2
"H1215860","H5121445",10
"H1215860","H616715",4
"H1215860","H695008",8
"H1215860","H8347591",4
"H1215860","H849008",2
"H1215860","H970466",2
"H12161205","H11209487",2
"H12161205","H11403959",2
"H12161205","H15309661",2
"H12161205","H2038963",2
"H12161205","H32015",3
"H12161205","H4239949",2
"H12161205","H7247352",2
"H12161205","H8678995",2
"H12234363","H34062975",2
"H12234363","H46630199",2
"H12234363","H8008783",2
"H12260580","H19962086",2
"H1226386","H39930655",6
"H12270625","H20527599",2
"H12435208","H1864688",2
"H12514858","H19588566",2
"H12514858","H25188",2
"H12514858","H34104860",2
"H12514858","H4240274",2
"H12514858","H45869520",2
"H12514858","H8008783",4
"H125291314","H58120719",4
"H125291314","H58419920",10
"H12534752","H9335473",4
"H12599191","H30386874",2
"H12625335","H7025353",3
"H12693807","H1549335",2
"H1269641","H15582957",2
"H12706502","H4630",2
"H12710712","H11611752",2
"H12710712","H16308520",2
"H12710712","H24599895",2
"H12710712","H32067",2
"H12710712","H33992584",2
"H12710712","H4219994",2
"H12710712","H46630199",2
"H12710712","H49737749",2
"H12710712","H58214542",2
"H12763669","H21506582",3
"H12763669","H39930655",3
"H12763669","H4071043",2
"H12763669","H4420984",2
"H127719","H38662803",2
"H12793504","H16088708",2
"H12793504","H46630199",3
"H12804388","H13275854",2
"H12895832","H11611752",2
"H12895832","H7774762",2
"H12905980","H1479590",3
"H12923983","H3331633",2
"H12993876","H1578338",2
"H12993876","H45095645",2
"H13000882","H34104860",2
"H13000882","H3453489",2
"H13000882","H5742992",2
"H13000882","H6924837",2
"H130539","H28827689",2
"H131254","H21569885",2
"H13130640","H15365907",2
"H13130640","H43492585",6
"H1313111","H5176572",2
"H13204797","H2153896",2
"H1323447","H13275854",3
"H1323447","H22303263",2
"H13237836","H23313048",2
"H13239338","H28827689",2
"H13239338","H4179451",2
"H13242357","H32844998",2
"H13275854","H12804388",2
"H13275854","H1323447",3
"H13275854","H22303263",7
"H13275854","H27696",6
"H13275854","H33313857",3
"H13275854","H33747834",2
"H13275854","H34193611",2
"H13275854","H3574033",2
"H13275854","H4212613",2
"H13275854","H48259132",4
"H13275854","H75679",5
"H13319995","H24426199",2
"H13319995","H4240274",3
"H13319995","H50003662",2
"H1346845","H27696",2
"H13493491","H4086965",2
"H13505475","H107711368",2
"H13505475","H3738638",2
"H13545746","H695008",5
"H13632628","H24049370",4
"H1369442","H29827252",2
"H1369442","H3873893",2
"H1369442","H8008783",2
"H13711278","H4492140",2
"H13736624","H14398760",7
"H13743641","H35456515",2
"H13817352","H11980555",4
"H13817352","H14123150",2
"H13817352","H15341890",2
"H13817352","H1864688",2
"H13817352","H21032851",5
"H13817352","H21493494",2
"H13817352","H22801633",2
"H13817352","H30168636",2
"H13817352","H30664423",2
"H13817352","H39168534",2
"H13817352","H39930655",3
"H13817352","H41047431",3
"H13817352","H592752",3
"H1399272","H14275599",2
"H1399272","H14444017",11
"H1399272","H1907809",2
"H1399272","H2252538",2
"H1399272","H23630423",2
"H1399272","H24172960",2
"H1399272","H39930655",2
"H1399272","H45321846",3
"H1399272","H4645",2
"H1399272","H5059",3
"H1399272","H6059772",2
"H1399272","H6867099",2
"H1399272","H695008",2
"H1399272","H705346",3
"H1399272","H7567180",2
"H1399272","H86600663",2
"H1402804","H84482486",2
"H14123150","H11611752",3
"H14123150","H11980555",2
"H14123150","H13817352",2
"H14123150","H17633",2
"H14123150","H1864688",2
"H14123150","H39930655",4
"H14123150","H4071043",2
"H14123150","H8354112",2
"H14139251","H14698422",4
"H14139251","H21032851",5
"H14139251","H49446157",2
"H14229159","H3142082",2
"H14275599","H1399272",2
"H14275599","H14444017",3
"H14275599","H2252538",13
"H14275599","H39512200",4
"H14275599","H4374494",6
"H14275599","H4492140",3
"H14275599","H46800409",2
"H14275599","H4819031",3
"H14275599","H58166745",2
"H14275599","H8160186",3
"H14275599","H9562713",2
"H14275599","H983611",4
"H14328004","H34312",2
"H14363575","H10871811",2
"H14363575","H1468884",2
"H14363575","H15365907",2
"H14363575","H18220671",2
"H14363575","H1864688",4
"H14363575","H39930655",7
"H14363575","H89849",2
"H1436380","H17742169",2
"H14366260","H33262773",2
"H14398760","H13736624",7
"H14398760","H27956906",7
"H14398760","H2936043",7
"H14398760","H6090773",7
"H14398760","H6092047",7
"H14398760","H7774762",7
"H14398760","H8591234",7
"H14398760","H8668074",7
"H14416207","H5121445",6
"H1443163","H10569373",2
"H1443163","H26123572",2
"H1443163","H30791647",2
"H14444017","H103466813",2
"H14444017","H1399272",11
"H14444017","H14275599",3
"H14444017","H46154143",2
"H14444017","H53137795",2
"H14444017","H55781438",2
"H14448941","H8008783",2
"H14497401","H25313317",2
"H14497401","H3393172",2
"H14497401","H40709062",2
"H14497401","H42456081",4
"H14497401","H4948020",9
"H14497401","H5121445",7
"H14497401","H7138809",2
"H14497401","H8347591",3
"H14497401","H96356415",3
"H14540196","H2038963",2
"H14540196","H64305614",3
"H14545864","H11611752",2
"H14545864","H3574033",2
"H14594385","H21569885",3
"H14594385","H39168534",2
"H14594385","H56885621",4
"H14594385","H74877774",3
"H14631970","H11154497",2
"H14631970","H1215860",2
"H14631970","H343320",5
"H14631970","H5121445",5
"H14631970","H8347591",2
"H1468624","H10295815",3
"H1468624","H1546598",6
"H1468624","H22653397",3
"H1468624","H36482071",2
"H1468624","H41206001",3
"H1468624","H62286573",2
"H1468624","H75679",2
"H1468624","H9794313",2
"H1468884","H11611752",4
"H1468884","H14363575",2
"H1468884","H2070536",2
"H1468884","H24599895",2
"H1468884","H26230942",2
"H1468884","H2944360",4
"H1468884","H39930655",6
"H1468884","H44203219",2
"H1468884","H5487930",2
"H1468884","H7025353",2
"H14692970","H1105484",2
"H14692970","H11133326",3
"H14692970","H15830506",2
"H14692970","H2944360",2
"H14692970","H40409691",2
"H14692970","H45065765",2
"H14698422","H14139251",4
"H14698422","H49446157",2
"H14698422","H672624",2
"H14764323","H17633",2
"H14764323","H3765717",2
"H14772441","H15365907",2
"H1479590","H11980555",3
"H1479590","H12905980",3
"H1479590","H17633",3
"H1479590","H27550391",3
"H1479590","H28827689",3
"H1479590","H32697217",3
"H1479590","H3873893",3
"H1479590","H42933839",3
"H1479590","H511136",3
"H1479590","H6166967",3
"H1479590","H738459",3
"H14808350","H15743579",2
"H14808350","H1601409",2
"H14808350","H3794441",2
"H14808350","H43492585",6
"H14808350","H4627692",2
"H14808350","H5176572",2
"H14808350","H5448602",4
"H14808350","H8590537",2
"H1482916","H10084983",2
"H1482916","H18054446",3
"H14907355","H1864688",10
"H14907355","H39930655",6
"H14907355","H54846861",5
"H14907355","H58166745",5
"H14907355","H68832262",20
"H1492302","H8201030",2
"H15044614","H10808381",4
"H15044614","H29814693",4
"H15044614","H54846861",2
"H15044614","H5850",2
"H15108326","H42598043",2
"H15108326","H754161",2
"H1512964","H21569885",4
"H1512964","H5121445",7
"H15153807","H4492140",2
"H15153807","H7884028",2
"H1521226","H4492140",2
"H1521865","H54846861",4
"H15224957","H39930655",2
"H15268222","H35295069",4
"H15268222","H6336395",4
"H15268222","H8261484",3
"H15274203","H25188",2
"H15309661","H12161205",2
"H15341890","H13817352",2
"H15341890","H17633",3
"H15341890","H2153896",2
"H15341890","H55781438",2
"H15365907","H11793019",2
"H15365907","H13130640",2
"H15365907","H14363575",2
"H15365907","H14772441",2
"H15365907","H69403545",2
"H1546598","H1468624",6
"H1546598","H1565502",2
"H1546598","H21057985",4
"H1546598","H29299104",2
"H1546598","H36482071",3
"H1546598","H466987",2
"H1546598","H509854",2
"H1546598","H62286573",3
"H1546598","H64565492",2
"H1546598","H6527",2
"H1546598","H75679",3
"H1546598","H9794313",3
"H1549335","H12693807",2
"H1549335","H3670724",2
"H1549335","H6090773",2
"H15540626","H1993915",3
"H15540626","H20548311",3
"H15540626","H98207538",4
"H15582957","H1269641",2
"H15582957","H15605440",6
"H15605440","H15582957",6
"H15605440","H30386874",2
"H15605440","H9240073",2
"H1563230","H849008",2
"H1565502","H10084983",6
"H1565502","H10883615",6
"H1565502","H110003",2
"H1565502","H1546598",2
"H1565502","H17633",2
"H1565502","H180061",4
"H1565502","H19328870",12
"H1565502","H2070536",2
"H1565502","H20916687",2
"H1565502","H21057985",2
"H1565502","H21569885",17
"H1565502","H2261483",2
"H1565502","H23630423",13
"H1565502","H24421384",13
"H1565502","H248513",8
"H1565502","H28827689",60
"H1565502","H32015",2
"H1565502","H32067",7
"H1565502","H3238684",3
"H1565502","H3318111",4
"H1565502","H3393172",2
"H1565502","H343320",2
"H1565502","H36270684",2
"H1565502","H39512200",12
"H1565502","H47593419",12
"H1565502","H5195482",2
"H1565502","H54846861",2
"H1565502","H55781438",2
"H1565502","H56646",2
"H1565502","H5968774",12
"H1565502","H7025353",2
"H1565502","H75679",4
"H1565502","H783034",2
"H1565502","H8041566",12
"H1565502","H9692598",2
"H1565502","H9794313",14
"H15743579","H14808350",2
"H15743579","H25653221",3
"H15743579","H5176572",4
"H15743579","H5783249",4
"H15743579","H5792182",3
"H15743579","H592752",4
"H15743579","H7833035",2
"H15743579","H9943204",4
"H15744863","H592752",2
"H15744863","H75679",2
"H1578338","H12993876",2
"H15784084","H5778691",2
"H15808010","H1187360",4
"H15808010","H20530337",6
"H15808010","H27998750",2
"H15808010","H3794441",2
"H15808010","H4977214",2
"H15808010","H5076655",2
"H15808010","H5195482",2
"H15808010","H5448602",2
"H15808010","H5792182",2
"H15808010","H67966277",2
"H15808010","H69033883",4
"H15808010","H7196325",2
"H15808010","H8321439",2
"H15830506","H14692970",2
"H15830506","H16442013",2
"H15830506","H17633",4
"H15830506","H26017860",2
"H15830506","H27323824",2
"H15830506","H2944360",2
"H15830506","H31600200",2
"H15830506","H36812494",2
"H15830506","H3914691",2
"H15830506","H4375212",2
"H15830506","H47426300",7
"H15830506","H68392253",2
"H15830506","H7025353",2
"H15830506","H7920901",2
"H15830506","H8008783",4
"H15830506","H92108594",2
"H15857963","H658301",2
"H15878465","H20371167",2
"H15878465","H2853696",2
"H15878465","H3517743",2
"H15878465","H5176572",2
"H15878465","H75194386",4
"H15902586","H10407231",2
"H15902586","H2070536",2
"H15902586","H2944360",4
"H15902586","H39930655",4
"H15902586","H4191377",2
"H15902586","H46582948",2
"H15902586","H58120719",2
"H1592446","H1728040",2
"H15976825","H3576720",2
"H15976825","H7025353",2
"H15996895","H11611752",2
"H1601409","H1215860",2
"H1601409","H14808350",2
"H1601409","H343320",5
"H1601409","H5121445",5
"H1601409","H8347591",2
"H16088708","H12793504",2
"H16088708","H22731277",2
"H16088708","H2534048",2
"H16088708","H25969674",2
"H16088708","H28774814",2
"H16088708","H29462405",2
"H16088708","H32868580",2
"H16088708","H3330273",2
"H16088708","H3393172",2
"H16088708","H46630199",4
"H16088708","H6624445",2
"H16088708","H7247352",2
"H16088708","H8160186",2
"H1624394","H110003",3
"H1624394","H20916687",2
"H1624394","H36956784",2
"H1624394","H5956393",3
"H1624394","H6353432",2
"H1624394","H983611",2
"H16244362","H65213010",2
"H16245062","H4577780",2
"H16245881","H17633",2
"H16256335","H835242",3
"H16256335","H9794313",2
"H16305092","H22653397",2
"H16305092","H42935495",2
"H16308520","H12710712",2
"H16308520","H2070536",2
"H1632216","H46630199",2
"H16442013","H10256614",2
"H16442013","H10292499",2
"H16442013","H10808381",2
"H16442013","H108566353",2
"H16442013","H15830506",2
"H16442013","H26017860",4
"H16442013","H2944360",2
"H16442013","H3111772",2
"H16442013","H3440635",2
"H16442013","H3914691",4
"H16442013","H46020006",2
"H16442013","H46630199",2
"H16442013","H47426300",14
"H16442013","H4913086",2
"H16442013","H4921735",2
"H16442013","H55825734",2
"H16442013","H68392253",2
"H16442013","H69845083",2
"H16442013","H7025353",2
"H16442013","H7762489",2
"H16544857","H22801633",2
"H1662757","H8008783",2
"H1671809","H11611752",6
"H16897313","H33747834",2
"H16897313","H34193611",2
"H16897313","H835242",3
"H16897313","H89016153",2
"H16897313","H9794313",2
"H1689867","H695008",5
"H16966298","H22456488",2
"H17035196","H22666136",6
"H17035196","H24986051",3
"H17035196","H32837957",2
"H17035196","H4492140",3
"H17035196","H45869520",2
"H17035196","H55781438",3
"H17035196","H7260828",2
"H17123337","H18220671",2
"H17123337","H23630423",2
"H17123337","H27323824",2
"H17123337","H4240274",2
"H17123337","H69033883",2
"H17207062","H11403959",2
"H1721549","H11630609",2
"H1721549","H21032851",4
"H1721549","H24336073",2
"H1721549","H31548826",3
"H1721549","H33524439",2
"H1721549","H3393172",2
"H1721549","H35456515",2
"H1721549","H46630199",2
"H1721549","H53137795",5
"H1721549","H55781438",2
"H1721549","H8008783",7
"H1721549","H87346288",7
"H17256405","H32067",3
"H17256405","H33747834",2
"H17256405","H34193611",2
"H1728040","H1592446",2
"H1728040","H2072106",2
"H1728040","H3847743",2
"H1728040","H41468053",2
"H1728040","H5992301",2
"H1728040","H6526384",2
"H1728040","H839218",2
"H17381735","H45869520",2
"H17381735","H51102173",2
"H17381735","H56620292",4
"H17381735","H86884249",3
"H17381735","H87977393",2
"H17381735","H94030820",2
"H1743511","H11980555",2
"H1743511","H1864688",4
"H1743511","H58120719",2
"H17544374","H343320",2
"H17633","H10098733",2
"H17633","H10871811",2
"H17633","H11600217",2
"H17633","H11611752",17
"H17633","H11980555",4
"H17633","H14123150",2
"H17633","H14764323",2
"H17633","H1479590",3
"H17633","H15341890",3
"H17633","H1565502",2
"H17633","H15830506",4
"H17633","H16245881",2
"H17633","H1864688",5
"H17633","H1907809",2
"H17633","H19710172",2
"H17633","H19806535",2
"H17633","H20129312",3
"H17633","H2070536",2
"H17633","H21178631",2
"H17633","H2131753",2
"H17633","H22717482",3
"H17633","H22801633",19
"H17633","H22932609",3
"H17633","H23183316",2
"H17633","H2374185",2
"H17633","H27696",2
"H17633","H28825130",2
"H17633","H28827689",3
"H17633","H29299104",2
"H17633","H3027744",2
"H17633","H31488625",4
"H17633","H31600200",2
"H17633","H32015",2
"H17633","H32067",4
"H17633","H32844998",3
"H17633","H3330273",3
"H17633","H342154",2
"H17633","H343320",2
"H17633","H347943",4
"H17633","H35456515",2
"H17633","H3576720",2
"H17633","H3873893",2
"H17633","H3914691",2
"H17633","H39742620",4
"H17633","H39930655",8
"H17633","H40629622",2
"H17633","H4071043",2
"H17633","H4280278",2
"H17633","H4384549",2
"H17633","H44218721",2
"H17633","H4617",3
"H17633","H4645",2
"H17633","H46630199",4
"H17633","H487806",2
"H17633","H49583",2
"H17633","H50148",2
"H17633","H511136",5
"H17633","H53580080",3
"H17633","H54846861",3
"H17633","H5992301",2
"H17633","H6059772",4
"H17633","H6105873",2
"H17633","H6147951",8
"H17633","H6166967",2
"H17633","H62638082",2
"H17633","H6421422",2
"H17633","H6961905",2
"H17633","H7025353",8
"H17633","H74778",2
"H17633","H783034",2
"H17633","H8008783",5
"H17633","H8160186",4
"H17633","H8591234",2
"H17633","H9335473",4
"H17633","H9590573",3
"H17633","H9746136",3
"H17742169","H1436380",2
"H17742169","H5783249",2
"H17742169","H74877774",2
"H17834891","H2492536",2
"H17834891","H3781807",2
"H17916157","H3251247",2
"H17916157","H4410578",3
"H17916157","H7612267",3
"H17923213","H39930655",3
"H17943997","H695008",3
"H17964679","H2261483",6
"H17964679","H3261351",4
"H17964679","H7920042",2
"H180061","H1565502",4
"H180061","H24426199",3
"H18054446","H1482916",3
"H18054446","H427473",3
"H18069324","H11517171",2
"H18091352","H10017900",2
"H18168898","H46521595",2
"H18180612","H36482071",2
"H18180612","H466987",4
"H18180612","H6353432",2
"H18220671","H105847496",2
"H18220671","H14363575",2
"H18220671","H17123337",2
"H18220671","H19588566",2
"H18220671","H23630423",4
"H18220671","H29711",3
"H18220671","H36812494",2
"H18220671","H39930655",7
"H18220671","H40644141",2
"H18220671","H4240274",4
"H18220671","H44203219",2
"H18220671","H4539831",2
"H18220671","H50159579",2
"H18220671","H69033883",4
"H18220671","H71981250",2
"H18220671","H8386207",2
"H18220671","H9287583",2
"H18220671","H94688469",2
"H18220671","H95154314",2
"H18220671","H98246724",2
"H18393059","H24049370",4
"H18393059","H8008783",2
"H18483697","H46630199",2
"H18492215","H27998750",3
"H18507845","H44583929",2
"H18554302","H9287583",2
"H1864688","H10871811",3
"H1864688","H11611752",2
"H1864688","H11980555",4
"H1864688","H12435208",2
"H1864688","H13817352",2
"H1864688","H14123150",2
"H1864688","H14363575",4
"H1864688","H14907355",10
"H1864688","H1743511",4
"H1864688","H17633",5
"H1864688","H1865736",2
"H1864688","H21132530",2
"H1864688","H2291656",2
"H1864688","H25197983",2
"H1864688","H2598912",2
"H1864688","H28011820",4
"H1864688","H28825130",4
"H1864688","H3111772",2
"H1864688","H31600200",2
"H1864688","H37811920",2
"H1864688","H3873893",4
"H1864688","H39930655",13
"H1864688","H41262444",3
"H1864688","H4179451",2
"H1864688","H4341219",2
"H1864688","H44203219",12
"H1864688","H45095645",2
"H1864688","H46582948",2
"H1864688","H4993788",7
"H1864688","H54846861",2
"H1864688","H5778691",3
"H1864688","H58166745",5
"H1864688","H6429318",2
"H1864688","H6868704",3
"H1864688","H68832262",8
"H1864688","H7025353",10
"H1864688","H8008783",10
"H1864688","H8160186",6
"H1864688","H8354112",3
"H1864688","H88330982",2
"H1864688","H9680354",2
"H1864688","H983611",2
"H1865736","H1864688",2
"H1865736","H28825130",2
"H1865736","H50148",2
"H1865736","H8008783",3
"H1865736","H983611",2
"H18715163","H18896296",14
"H18715163","H75679",266
"H18731823","H46800409",2
